GISJOIN,STATE,TRACTA,INCOME,ERROR
G1701610022800,Illinois,22800,43720,2143
G2601570000500,Michigan,500,46500,2143
G7200130301800,Puerto Rico,301800,9905,2145
G1200390020400,Florida,20400,34075,2146
G5501290950500,Wisconsin,950500,42363,2146
G4701130000500,Tennessee,500,16930,2147
G3700810011500,North Carolina,11500,26784,2148
G3100550003100,Nebraska,3100,38521,2148
G5501290950600,Wisconsin,950600,49010,2148
G1700630000900,Illinois,900,60906,2149
G3600930021002,New York,21002,13580,2150
G2902290490200,Missouri,490200,35582,2150
G3000630000300,Montana,300,18463,2154
G0600770002800,California,2800,51528,2154
G4001310050701,Oklahoma,50701,35462,2155
G5400730962200,West Virginia,962200,41359,2155
G2700210960600,Minnesota,960600,46158,2155
G0600730010013,California,10013,36393,2156
G4804390113104,Texas,113104,41434,2156
G7200990420100,Puerto Rico,420100,11644,2158
G4804390101700,Texas,101700,13947,2159
G0100150000500,Alabama,500,15962,2159
G2601110291400,Michigan,291400,51721,2159
G7200010956600,Puerto Rico,956600,10386,2161
G0601070004300,California,4300,30456,2161
G0500210950600,Arkansas,950600,31370,2162
G7200110810200,Puerto Rico,810200,18640,2163
G1000030002900,Delaware,2900,12612,2164
G7201130070900,Puerto Rico,70900,8488,2165
G7201210960500,Puerto Rico,960500,10357,2165
G7200230830603,Puerto Rico,830603,13656,2165
G2700350951600,Minnesota,951600,47833,2166
G5107600030100,Virginia,30100,10878,2167
G7201130072600,Puerto Rico,72600,11047,2169
G7200610040102,Puerto Rico,40102,15702,2169
G1301210007704,Georgia,7704,30497,2170
G2200710000602,Louisiana,602,30965,2170
G2200650960500,Louisiana,960500,35368,2170
G3700510003403,North Carolina,3403,40776,2171
G7200130300400,Puerto Rico,300400,15645,2172
G3901510713401,Ohio,713401,51293,2172
G4201110021901,Pennsylvania,21901,51929,2174
G2700190091201,Minnesota,91201,66484,2174
G3600770590400,New York,590400,53833,2175
G2601630579500,Michigan,579500,18061,2177
G3900610008000,Ohio,8000,11600,2179
G3700810012608,North Carolina,12608,27274,2180
G0800770001101,Colorado,1101,50822,2180
G0600730015703,California,15703,23728,2181
G2601630566900,Michigan,566900,41469,2181
G1700950000800,Illinois,800,16784,2182
G0800050081900,Colorado,81900,41499,2182
G2000350493200,Kansas,493200,50997,2182
G1200860009026,Florida,9026,23588,2183
G3900350104900,Ohio,104900,26181,2186
G4000890098500,Oklahoma,98500,40705,2188
G2601130960100,Michigan,960100,38036,2189
G0100730010401,Alabama,10401,26035,2192
G4802010331400,Texas,331400,10128,2193
G1200860000806,Florida,806,24119,2193
G1301850011000,Georgia,11000,15733,2194
G4700050963300,Tennessee,963300,28950,2196
G2701110961500,Minnesota,961500,50975,2197
G1302710950100,Georgia,950100,26606,2198
G7200090250100,Puerto Rico,250100,19036,2199
G3200030006800,Nevada,6800,29810,2199
G1201270090804,Florida,90804,40520,2200
G1801770000500,Indiana,500,25921,2201
G2100670003101,Kentucky,3101,33816,2203
G3900350112600,Ohio,112600,13398,2204
G2800490010801,Mississippi,10801,20405,2205
G4700370013601,Tennessee,13601,25467,2205
G3000470940500,Montana,940500,43750,2205
G2902110480200,Missouri,480200,51080,2207
G7200350260800,Puerto Rico,260800,23471,2208
G1201050011901,Florida,11901,37758,2208
G1700190000402,Illinois,402,4231,2209
G5501190960300,Wisconsin,960300,47115,2210
G2601410950100,Michigan,950100,53423,2210
G4200030486900,Pennsylvania,486900,27939,2211
G3901530502300,Ohio,502300,31390,2212
G1300890023108,Georgia,23108,31078,2213
G5500170010900,Wisconsin,10900,44209,2213
G1800970354900,Indiana,354900,21265,2215
G1201150000406,Florida,406,30605,2215
G2800750000200,Mississippi,200,20985,2216
G7201110730100,Puerto Rico,730100,12772,2217
G2601630516600,Michigan,516600,16229,2217
G7200350260700,Puerto Rico,260700,13992,2218
G0900030504900,Connecticut,504900,34358,2218
G2700050940000,Minnesota,940000,44063,2219
G0500410950300,Arkansas,950300,21518,2220
G4500790001000,South Carolina,1000,12558,2222
G2600110970500,Michigan,970500,37418,2222
G7201130070502,Puerto Rico,70502,17965,2224
G2601650380100,Michigan,380100,40292,2225
G4804390111537,Texas,111537,61386,2225
G2601630534100,Michigan,534100,22795,2226
G3600090960100,New York,960100,51325,2226
G0501150951300,Arkansas,951300,33927,2229
G4802010433502,Texas,433502,24036,2230
G1800970390500,Indiana,390500,28344,2230
G3900350117201,Ohio,117201,10119,2231
G4802010433001,Texas,433001,22961,2233
G4801130010801,Texas,10801,32783,2233
G2101950930100,Kentucky,930100,36519,2233
G5501110000200,Wisconsin,200,61081,2233
G1201110380200,Florida,380200,13216,2234
G7200030430601,Puerto Rico,430601,16339,2234
G5400510020601,West Virginia,20601,35750,2235
G5300570940800,Washington,940800,61570,2235
G3901510701500,Ohio,701500,24336,2236
G1600270020504,Idaho,20504,32731,2237
G4000370021000,Oklahoma,21000,28100,2238
G4200490001500,Pennsylvania,1500,24852,2239
G2101450030200,Kentucky,30200,20771,2240
G2400010000700,Maryland,700,28853,2240
G7200050400600,Puerto Rico,400600,9926,2241
G5500790008800,Wisconsin,8800,15882,2241
G2900510010300,Missouri,10300,52707,2241
G1701430001300,Illinois,1300,17390,2242
G2001470475200,Kansas,475200,47037,2242
G1801570010901,Indiana,10901,71148,2242
G2900770005500,Missouri,5500,26350,2243
G1900650080600,Iowa,80600,50445,2243
G5500070960400,Wisconsin,960400,51216,2243
G2601630579100,Michigan,579100,31446,2244
