GISJOIN,STATE,TRACTA,TOTAL,BLACK_AA_Count,BLACK_AA_Percentage
G0101270021800,Alabama,21800,3678,247,6.72
G0100550010300,Alabama,10300,2602,175,6.73
G0100530969900,Alabama,969900,4169,281,6.74
G0101270021600,Alabama,21600,1497,102,6.81
G0100550010700,Alabama,10700,3797,259,6.82
G0100710950800,Alabama,950800,4132,282,6.82
G0100450020000,Alabama,20000,5149,352,6.84
G0100950030600,Alabama,30600,6324,437,6.91
G0101170030317,Alabama,30317,4097,283,6.91
G0101150040205,Alabama,40205,6082,421,6.92
G0100790979900,Alabama,979900,2053,143,6.97
G0101250010302,Alabama,10302,3342,235,7.03
G0100970006407,Alabama,6407,5980,421,7.04
G0101250010405,Alabama,10405,4178,295,7.06
G0100830020402,Alabama,20402,5712,405,7.09
G0100890002721,Alabama,2721,4195,299,7.13
G0100010020801,Alabama,20801,2913,208,7.14
G0100590973200,Alabama,973200,4312,308,7.14
G0100730011110,Alabama,11110,5964,426,7.14
G0100690042100,Alabama,42100,7202,515,7.15
G0100730012915,Alabama,12915,6236,449,7.2
G0100930964600,Alabama,964600,3407,248,7.28
G0100270959100,Alabama,959100,2765,202,7.31
G0101250010703,Alabama,10703,2762,202,7.31
G0100710950300,Alabama,950300,5708,422,7.39
G0101170030800,Alabama,30800,4016,297,7.4
G0100730011107,Alabama,11107,11401,855,7.5
G0100670030600,Alabama,30600,1486,112,7.54
G0100830020401,Alabama,20401,6289,481,7.65
G0100290959600,Alabama,959600,3837,295,7.69
G0100970006200,Alabama,6200,4994,384,7.69
G0100210060700,Alabama,60700,4837,374,7.73
G0100970006301,Alabama,6301,10887,847,7.78
G0101030005103,Alabama,5103,990,77,7.78
G0100730011600,Alabama,11600,3720,290,7.8
G0101170030334,Alabama,30334,4044,316,7.81
G0101170030303,Alabama,30303,7999,628,7.85
G0100830020802,Alabama,20802,9407,739,7.86
G0101270021500,Alabama,21500,3209,253,7.88
G0100710950600,Alabama,950600,5812,459,7.9
